   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   3    2   13   0.839694    47.635684     0.716597      47.6411   33.63588    0.08502    6
   2    3  -13   0.839694    34.902274    -0.226458       34.903   33.63588    0.04563    6
   0    4   14   0.838453    -0.446389    -0.512959     0.679993   33.68714    0.00002    6
   4    3    4   0.835859    14.597144     1.394582      14.6636   33.79484    0.00797    6
   3    4   -4   0.835859   -48.193699    -3.274339      48.3048   33.79484    0.08652    6
   5    0   11   0.834678   -36.477286    -1.974560      36.5307   33.84408    0.04932    6
   2    5    0   0.834200    31.924296    -1.274182      31.9497   33.86408    0.03768    6
   5    2    0   0.834200    32.846596    -1.205483      32.8687   33.86408    0.03988    6
   4    2  -10   0.828554  -106.712445    -5.879768      106.874   34.10187    0.41525    6
   2    4   10   0.828554    -8.996883     1.442123      9.11173   34.10187    0.00302    6
   4    3   -5   0.824910   -11.237994     0.223721      11.2402   34.25714    0.00455    6
   3    4    5   0.824910   -60.983334    -3.518258      61.0847   34.25714    0.13432    6
   2    5    3   0.823315    25.558789     5.281444      26.0988   34.32556    0.02441    6
   2    5   -3   0.823315  -159.811221    -8.686511      160.047   34.32556    0.91808    6
   5    2    3   0.823315    25.850983     5.303462      26.3894   34.32556    0.02496    6
   5    2   -3   0.823315  -160.518939    -8.739839      160.757   34.32556    0.92623    6
   0    6    6   0.822146   -35.214584    -5.219219      35.5993   34.37591    0.04528    6
   6    0    6   0.822146   -34.592899    -5.172315      34.9774   34.37591    0.04371    6
   2    1  -17   0.820316   -57.115333    -3.959500      57.2524   34.45496    0.11652    6
  -1   -2  -17   0.820316   -13.848263    -0.688661      13.8654   34.45496    0.00683    6
   1    1   18   0.819944    84.435058     8.446132      84.8564   34.47111    0.25571    6
   1    1  -18   0.819944  -138.284490    -8.397496      138.539   34.47111    0.68159    6
   3    2  -14   0.807659    66.020576     4.548967      66.1771   35.01223    0.15032    6
   2    3   14   0.807659    59.676088     4.062600      59.8142   35.01223    0.12281    6
   4    2   11   0.804283   -72.379514    36.513611      81.0681   35.16398    0.22346    6
  -2   -4   11   0.804283    17.982967    66.415152      68.8067   35.16398    0.16098    6
   1    3   16   0.798875   -62.989881    -1.796946      63.0155   35.40988    0.13298    6
   3    1  -16   0.798875  -103.202479    -4.910527      103.319   35.40988    0.35748    6
   1    5  -10   0.798799   -96.986578    -5.390484      97.1363   35.41333    0.31591    6
   5    1   10   0.798799   -25.493910     0.145530      25.4943   35.41333    0.02176    6
   1    0   19   0.797844    55.922099     1.438743      55.9406   35.45715    0.10449    6
   3    4   -7   0.797694     9.880554    -0.482523      9.89233   35.46406    0.00327    6
   4    3    7   0.797694     9.022836    -0.549024      9.03952   35.46406    0.00273    6
   6    1   -1   0.793390    66.053482     5.518484      66.2836   35.66289    0.14486    6
   1    6    1   0.793390    19.039712     1.855139      19.1299   35.66289    0.01207    6
   5    2    6   0.793053    63.738093     2.424530      63.7842   35.67855    0.13401    6
   5    2   -6   0.793053   142.804175     8.587839      143.062   35.67855    0.67414    6
   2   -2   -6   0.793053    55.647107    17.675474      58.3868   35.67855    0.11229    6
   2    5   -6   0.793053   143.321164     8.628138      143.581   35.67855    0.67904    6
  -1   -6    2   0.790225   -38.917392   -38.346927      54.6356   35.81053    0.09753    6
   6    1    2   0.790225    18.982515     0.639450      18.9933   35.81053    0.01179    6
   3    3   12   0.788895    73.016430     5.592955      73.2303   35.87294    0.17455    6
   3    3  -12   0.788895    76.061667     5.831495      76.2849   35.87294    0.18941    6
   4    3   -8   0.781992    66.654581     4.296100      66.7929   36.20055    0.14234    6
   3    4    8   0.781992    44.628170     2.556501      44.7013   36.20055    0.06376    6
