   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
  -2   -4   -1   0.982496   121.936223    54.612331      133.607   28.63304    0.89633    3
   2    4   -2   0.976506    33.806961    80.519966      87.3291   28.81247    0.37787    3
   4    2    2   0.976506  -127.891485   -51.702803      137.947   28.81247    0.94286    3
  -4   -2   -2   0.976506  -133.145893    34.033298      137.427   28.81247    0.93576    3
  -2   -4    2   0.976506    43.708649   -75.944508      87.6243   28.81247    0.38043    3
   2    2  -12   0.974000   -49.356150    26.596503      56.0661   28.88821    0.15488    3
   2    2   12   0.974000   -67.879722   -61.910500      91.8726   28.88821    0.41587    3
  -2   -2   12   0.974000   -44.552139   -30.472930      53.9768   28.88821    0.14355    3
  -2   -2  -12   0.974000   -44.816972   -25.109245      51.3715   28.88821    0.13003    3
   1    1  -15   0.968230    48.446106  -151.483540      159.042   29.06414    1.23022    3
   1    1   15   0.968230   -28.664724  -196.794492      198.871   29.06414    1.92356    3
  -1   -1  -15   0.968230   -55.167419   190.022000      197.868   29.06414    1.90420    3
  -1   -1   15   0.968230    29.087324   155.379466      158.079   29.06414    1.21537    3
   1    2   14   0.957454    -3.873867  -100.141047      100.216   29.39858    0.47667    3
   2    1  -14   0.957454    56.771502    11.847529      57.9945   29.39858    0.15963    3
  -2   -1   14   0.957454    53.037346    -4.768895      53.2513   29.39858    0.13459    3
  -1   -2  -14   0.957454   -12.294844    98.822086       99.584   29.39858    0.47068    3
   2    4    4   0.953595   -66.751874   -84.693663      107.837   29.52022    0.54707    3
   4    2   -4   0.953595    91.975048   -37.432670      99.3006   29.52022    0.46389    3
  -4   -2    4   0.953595    85.756265    51.002024      99.7765   29.52022    0.46834    3
  -2   -4   -4   0.953595   -77.240001    76.752788       108.89   29.52022    0.55781    3
   0    4   11   0.951843    30.860197    78.001336      83.8842   29.57580    0.32970    3
   4    0  -11   0.951843    38.386462   -73.519833      82.9378   29.57580    0.32230    3
   4    1   -9   0.945759  -112.733286   100.728441      151.179   29.77046    1.05595    3
   4    1    9   0.945759    54.993191    61.912633      82.8096   29.77046    0.31683    3
  -1   -4    9   0.945759  -107.443151  -112.124570      155.293   29.77046    1.11421    3
   1    4   -9   0.945759  -163.890689    87.384336      185.731   29.77046    1.59380    3
   1    4    9   0.945759    52.139836    68.937894      86.4349   29.77046    0.34518    3
  -4   -1   -9   0.945759    63.973429   -51.339467      82.0265   29.77046    0.31086    3
  -4   -1    9   0.945759   -25.568468  -145.188841      147.423   29.77046    1.00414    3
  -1   -4   -9   0.945759    62.086748   -58.683607      85.4314   29.77046    0.33721    3
   0    1  -16   0.942915   -17.282886     3.357162      17.6059   29.86233    0.01423    3
   1    0   16   0.942915   -18.761089    -4.079745      19.1996   29.86233    0.01692    3
  -2   -3   10   0.942791    36.451544    45.167991      58.0419   29.86635    0.15458    3
   2    3  -10   0.942791    30.314956   -20.490310      36.5903   29.86635    0.06143    3
   3    2   10   0.942791    32.348658     9.786478      33.7966   29.86635    0.05241    3
  -3   -2  -10   0.942791   106.242405    64.807711      124.449   29.86635    0.71065    3
   5    0   -7   0.940974    84.453724  -110.612217      139.167   29.92536    0.88493    3
   0    5    7   0.940974    71.406016   121.525231      140.951   29.92536    0.90776    3
   2    4   -5   0.937433   -76.375068    19.119920       78.732   30.04106    0.28090    3
   4    2    5   0.937433    -9.151813   106.452425      106.845   30.04106    0.51731    3
  -4   -2   -5   0.937433     0.905528  -107.869660      107.873   30.04106    0.52732    3
  -2   -4    5   0.937433   -68.604812   -29.797293      74.7964   30.04106    0.25352    3
   1    5   -1   0.933932    45.740207    53.734186      70.5658   30.15636    0.22380    3
   5    1    1   0.933932    45.463908   -24.297677      51.5494   30.15636    0.11943    3
  -1   -5    1   0.933932   -42.518027   -25.021501      49.3341   30.15636    0.10939    3
  -5   -1   -1   0.933932    43.568698    31.935156      54.0193   30.15636    0.13115    3
   3    3   -6   0.933382   -64.164696    66.431515      92.3594   30.17454    0.38289    3
   3    3    6   0.933382   -79.384057   -47.101587      92.3059   30.17454    0.38245    3
   6   -3   -6   0.933382   -83.516954    33.515195      89.9908   30.17454    0.36351    3
   6   -3    6   0.933382   -55.757056   -77.097569      95.1466   30.17454    0.40635    3
  -6    1    2   0.928782   -41.253251   -25.441745      48.4677   30.32757    0.10431    3
   5    1   -2   0.928782    54.703135    34.303516      64.5691   30.32757    0.18512    3
  -1   -5   -2   0.928782   -43.857774    19.084009      47.8299   30.32757    0.10158    3
   6   -5    2   0.928782   110.585024   -45.814703        119.7   30.32757    0.63620    3
   5    0    8   0.915493    21.202136  -141.380875      142.962   30.77860    0.87917    3
  -5    0   -8   0.915493     6.149484   141.020706      141.155   30.77860    0.85709    3
 252    3   13   0.913942   102.716988    45.664003       112.41   30.83212    0.54153    3
   3    1  -13   0.913942   101.501648   -89.537756       135.35   30.83212    0.78511    3
  -1   -3  -13   0.913942    -4.765875   -36.155058      36.4678   30.83212    0.05699    3
  -3   -1   13   0.913942    90.743510    98.793473      134.144   30.83212    0.77118    3
   5    1    4   0.909003   -64.691414   -41.933618      77.0935   31.00384    0.25169    3
  -1   -5    4   0.909003   -10.345733   -40.216325      41.5257   31.00384    0.07302    3
   5   -6   -4   0.909003     7.427873   -15.648970      17.3223   31.00384    0.01271    3
  -5   -1   -4   0.909003   -69.224356    67.205723      96.4812   31.00384    0.39419    3
   2    3   11   0.907485   -50.007703     4.200205      50.1838   31.05701    0.10626    3
   3    2  -11   0.907485   -75.223183    20.840107      78.0566   31.05701    0.25707    3
   5   -3   11   0.907485   -69.104275   -30.992537       75.736   31.05701    0.24201    3
  -2   -3  -11   0.907485   -51.445202   -11.375042      52.6878   31.05701    0.11712    3
   0    2   16   0.899738   -52.907481   -55.844333      76.9272   31.33127    0.24500    3
   2    0  -16   0.899738   -58.288508    49.760275      76.6396   31.33127    0.24317    3
   4    2   -7   0.898052    53.994882    19.167827      57.2962   31.39163    0.13535    3
  -4   -2    7   0.898052    58.628296   -10.987460       59.649   31.39163    0.14669    3
